ak,al,ar,az,ca,co,ct,dc,de,fl,ga,hi,ia,id,il,in,ks,ky,la,ma,md,me,mi,mn,mo,ms,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,pr,ri,sc,sd,tn,tx,ut,va,vt,wa,wi,wv,wy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,27.0,6.0,8.0,2.0,0.0,10.0,19.0,0.0,0.0,0.0,8.0,14.0,1.0,2.0,18.0,5.0,3.0,0.0,6.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,138.0,3.0,2.0,3.0,2.0,1.0,0.0,3.0,0.0,2.0,5.0,1.0,2.0,2.0,52.0,4.0,0.0,0.0
3.0,4.0,5.0,15.0,99.0,40.0,26.0,7.0,6.0,46.0,62.0,0.0,4.0,6.0,57.0,43.0,3.0,7.0,133.0,43.0,12.0,3.0,121.0,8.0,9.0,13.0,1.0,4.0,1.0,2.0,3.0,137.0,2.0,13.0,1096.0,26.0,14.0,9.0,36.0,2.0,3.0,13.0,0.0,4.0,30.0,2.0,19.0,10.0,101.0,9.0,1.0,0.0
4.0,27.0,10.0,47.0,217.0,92.0,155.0,13.0,8.0,162.0,137.0,4.0,13.0,4.0,209.0,153.0,17.0,35.0,323.0,183.0,52.0,7.0,489.0,20.0,21.0,29.0,4.0,27.0,2.0,4.0,6.0,756.0,10.0,31.0,4196.0,90.0,30.0,14.0,112.0,17.0,22.0,28.0,1.0,39.0,92.0,5.0,29.0,6.0,143.0,55.0,2.0,0.0
2.0,30.0,12.0,50.0,325.0,151.0,365.0,0.0,21.0,240.0,221.0,5.0,24.0,17.0,446.0,202.0,34.0,51.0,361.0,525.0,165.0,9.0,871.0,41.0,78.0,52.0,1.0,49.0,5.0,8.0,14.0,1433.0,14.0,56.0,6619.0,134.0,50.0,25.0,357.0,24.0,38.0,38.0,3.0,56.0,144.0,10.0,88.0,8.0,170.0,76.0,5.0,0.0
1.0,51.0,11.0,69.0,500.0,132.0,573.0,74.0,32.0,313.0,247.0,0.0,34.0,18.0,570.0,229.0,38.0,52.0,459.0,949.0,189.0,15.0,903.0,64.0,67.0,63.0,6.0,90.0,2.0,0.0,18.0,1855.0,29.0,72.0,5639.0,218.0,35.0,22.0,605.0,18.0,87.0,38.0,2.0,47.0,206.0,10.0,137.0,10.0,126.0,76.0,12.0,2.0
0.0,106.0,12.0,91.0,536.0,256.0,796.0,82.0,53.0,300.0,225.0,0.0,43.0,11.0,643.0,238.0,28.0,60.0,373.0,1194.0,287.0,16.0,927.0,137.0,98.0,68.0,4.0,128.0,7.0,0.0,19.0,1736.0,44.0,48.0,4182.0,255.0,64.0,17.0,437.0,23.0,76.0,46.0,4.0,33.0,169.0,13.0,160.0,9.0,115.0,52.0,14.0,5.0
0.0,71.0,25.0,86.0,495.0,164.0,572.0,73.0,57.0,305.0,259.0,8.0,65.0,7.0,683.0,253.0,23.0,45.0,295.0,1105.0,428.0,7.0,732.0,146.0,78.0,77.0,2.0,123.0,8.0,65.0,26.0,1929.0,51.0,51.0,2658.0,312.0,43.0,18.0,892.0,13.0,94.0,109.0,10.0,29.0,220.0,9.0,225.0,7.0,84.0,67.0,15.0,0.0
1.0,102.0,16.0,173.0,508.0,129.0,472.0,72.0,25.0,340.0,221.0,0.0,81.0,4.0,789.0,247.0,28.0,51.0,239.0,975.0,331.0,7.0,501.0,160.0,130.0,126.0,0.0,124.0,10.0,20.0,47.0,1385.0,50.0,49.0,2361.0,303.0,33.0,18.0,1246.0,14.0,102.0,55.0,13.0,33.0,221.0,18.0,179.0,1.0,97.0,61.0,4.0,0.0
0.0,94.0,7.0,144.0,524.0,243.0,440.0,60.0,88.0,254.0,201.0,0.0,87.0,6.0,771.0,228.0,21.0,30.0,220.0,818.0,348.0,6.0,340.0,142.0,112.0,92.0,0.0,109.0,8.0,23.0,39.0,1101.0,53.0,43.0,1251.0,284.0,17.0,10.0,519.0,12.0,77.0,55.0,10.0,55.0,247.0,12.0,169.0,1.0,70.0,52.0,13.0,1.0
0.0,73.0,18.0,119.0,511.0,115.0,286.0,49.0,36.0,263.0,230.0,0.0,98.0,5.0,679.0,217.0,10.0,57.0,144.0,575.0,333.0,8.0,336.0,146.0,85.0,104.0,0.0,84.0,10.0,26.0,37.0,774.0,64.0,43.0,892.0,341.0,23.0,11.0,918.0,4.0,109.0,50.0,6.0,34.0,182.0,17.0,161.0,0.0,61.0,58.0,5.0,4.0
