"ConditionName","ConditionSNOMED","PathogenName","PathogenTaxonID","Fatalities","CountryName","CountryISO","Admin1Name","Admin1ISO","Admin2Name","CityName","PeriodStartDate","PeriodEndDate","PartOfCumulativeCountSeries","AgeRange","Subpopulation","PlaceOfAcquisition","DiagnosisCertainty","SourceName","CountValue"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","1999-01-01","1999-01-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","0"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","1999-02-01","1999-02-28","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","0"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","1999-03-01","1999-03-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","0"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","1999-04-01","1999-04-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","0"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","1999-05-01","1999-05-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","0"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","1999-06-01","1999-06-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","0"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","1999-07-01","1999-07-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","0"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","1999-08-01","1999-08-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","1"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","1999-09-01","1999-09-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","1"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","1999-10-01","1999-10-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","1"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","1999-11-01","1999-11-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","0"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","1999-12-01","1999-12-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","0"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2000-01-01","2000-01-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","22"
